NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Moore,47127,TN,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,48339,TX,4,4,NA,NA,NA,NA,NA,8
Bexar,48029,TX,NA,1,NA,NA,NA,NA,NA,1
Jefferson,48245,TX,NA,NA,NA,NA,NA,NA,NA,0
Tyler,48457,TX,1,2,NA,NA,NA,1,NA,4
Fort Bend,48157,TX,2,NA,NA,NA,NA,1,NA,3
Ellis,48139,TX,NA,1,NA,NA,1,1,NA,3
Wood,48499,TX,1,NA,NA,NA,NA,1,NA,2
Brazos,48041,TX,NA,NA,NA,NA,1,1,NA,2
Upshur,48459,TX,NA,NA,NA,NA,1,1,NA,2
Morris,48343,TX,NA,2,NA,1,NA,1,NA,3
Roberts,48393,TX,NA,NA,NA,NA,NA,1,NA,1
Leon,48289,TX,NA,5,NA,NA,NA,1,NA,6
Navarro,48349,TX,NA,2,NA,NA,NA,1,NA,3
Grimes,48185,TX,NA,NA,NA,NA,NA,1,NA,1
Van Zandt,48467,TX,NA,1,NA,NA,NA,NA,NA,1
Dickens,48125,TX,NA,NA,NA,NA,NA,NA,NA,0
Crockett,48105,TX,NA,NA,NA,NA,NA,NA,NA,0
Scurry,48415,TX,NA,NA,NA,NA,NA,NA,NA,0
Rains,48379,TX,NA,2,NA,NA,NA,NA,NA,2
Kenedy,48261,TX,NA,NA,NA,NA,NA,NA,NA,0
Louisa,51109,VA,NA,NA,NA,NA,1,1,NA,2
Botetourt,51023,VA,NA,2,NA,1,1,1,NA,4
Fauquier,51061,VA,4,42,NA,20,1,1,NA,48
Amherst,51009,VA,NA,5,NA,5,1,1,NA,7
Roanoke,51161,VA,1,3,NA,NA,1,1,NA,6
Southampton,51175,VA,NA,NA,NA,NA,1,1,NA,2
Madison,51113,VA,NA,2,NA,NA,1,1,NA,4
Kanawha,54039,WV,2,10,NA,NA,NA,1,NA,13
Wyoming,54109,WV,NA,1,NA,NA,NA,1,NA,2
Greenbrier,54025,WV,1,1,NA,NA,1,1,NA,4
Lewis,54041,WV,NA,NA,NA,NA,NA,NA,NA,0
Jefferson,01073,AL,NA,1,NA,NA,1,1,NA,3
Pinellas,12103,FL,NA,NA,NA,NA,NA,NA,NA,0
Hillsborough,12057,FL,NA,NA,NA,NA,NA,NA,NA,0
Levy,12075,FL,NA,1,NA,NA,1,1,NA,3
Miami-Dade,12086,FL,NA,3,NA,3,NA,NA,NA,3
Lee,12071,FL,NA,NA,NA,NA,NA,NA,NA,0
Santa Rosa,12113,FL,NA,NA,NA,NA,NA,NA,NA,0
Cullman,01043,AL,NA,NA,NA,NA,1,NA,NA,1
Franklin,12037,FL,18,2,NA,NA,1,1,NA,22
Leon,12073,FL,3,12,NA,4,1,1,NA,17
Chatham,13051,GA,3,NA,NA,NA,1,1,NA,5
Lowndes,13185,GA,NA,NA,NA,NA,NA,NA,NA,0
Brooks,13027,GA,NA,NA,NA,NA,NA,NA,NA,0
Charlton,13049,GA,NA,NA,NA,NA,NA,NA,NA,0
Will,17197,IL,1,NA,NA,NA,NA,1,NA,2
Richmond,13245,GA,NA,NA,NA,NA,NA,NA,NA,0
Rabun,13241,GA,NA,1,NA,NA,NA,1,NA,2
Houston,13153,GA,NA,4,NA,NA,NA,1,NA,5
Colbert,01033,AL,NA,NA,NA,NA,NA,1,NA,1
Benton,05007,AR,1,9,NA,6,1,1,NA,12
Union,05139,AR,NA,NA,NA,NA,NA,1,NA,1
Ashley,05003,AR,NA,NA,NA,NA,1,1,NA,2
Sevier,05133,AR,NA,NA,NA,NA,NA,1,NA,1
Sebastian,05131,AR,1,1,NA,NA,NA,NA,NA,2
Carroll,05015,AR,NA,2,NA,NA,1,1,NA,4
Clay,05021,AR,NA,2,NA,2,1,1,NA,4
Desha,05041,AR,NA,NA,NA,NA,1,1,NA,2
Independence,05063,AR,NA,2,NA,2,NA,1,NA,3
Clark,05019,AR,NA,NA,NA,NA,1,1,NA,2
McCreary,21147,KY,NA,1,NA,NA,1,1,NA,3
Stanly,37167,NC,NA,NA,NA,NA,NA,1,NA,1
Anson,37007,NC,NA,1,NA,1,NA,1,NA,2
Robeson,37155,NC,NA,NA,NA,NA,NA,1,NA,1
Monroe,01099,AL,NA,NA,NA,NA,NA,1,NA,1
Lewis,21135,KY,NA,NA,NA,NA,1,1,NA,2
Lafourche,22057,LA,NA,NA,NA,NA,NA,NA,NA,0
Washington,22117,LA,1,NA,NA,NA,NA,NA,NA,1
Concordia,22029,LA,NA,NA,NA,NA,1,1,NA,2
East Carroll,22035,LA,NA,NA,NA,NA,NA,NA,NA,0
Beauregard,22011,LA,NA,NA,NA,NA,NA,NA,NA,0
Talbot,24041,MD,NA,2,NA,1,NA,1,NA,3
St. Mary's,24037,MD,1,1,NA,NA,NA,NA,NA,2
Somerset,24039,MD,NA,NA,NA,NA,NA,NA,NA,0
Wilcox,01131,AL,NA,1,NA,NA,1,1,NA,3
Caroline,24011,MD,1,NA,NA,NA,NA,1,NA,2
Prince George's,24033,MD,6,18,NA,3,NA,1,NA,25
Allegany,24001,MD,1,NA,NA,NA,NA,NA,NA,1
Hale,01065,AL,NA,2,NA,NA,1,1,NA,4
Niagara,36063,NY,2,NA,NA,NA,NA,NA,NA,2
New Hanover,37129,NC,NA,2,NA,NA,NA,1,NA,3
Pender,37141,NC,NA,7,NA,NA,NA,1,NA,8
Onslow,37133,NC,NA,NA,NA,NA,NA,1,NA,1
Clay,37043,NC,NA,NA,NA,NA,NA,1,NA,1
Macon,37113,NC,NA,1,NA,NA,NA,1,NA,2
Transylvania,37175,NC,NA,1,NA,NA,NA,1,NA,2
