NAME,GEOID,STUSPS,O,H,G,pre1970,USDA Plants,BONAP,Nature Serve,anyRecord
Garrard,21079,KY,NA,NA,NA,NA,1,NA,NA,1
Breathitt,21025,KY,NA,NA,NA,NA,NA,NA,NA,0
Mercer,21167,KY,NA,NA,NA,NA,NA,NA,NA,0
Bell,21013,KY,NA,NA,NA,NA,NA,NA,NA,0
Owen,21187,KY,NA,NA,NA,NA,NA,NA,NA,0
Tipton,47167,TN,NA,NA,NA,NA,1,NA,NA,1
Giles,47055,TN,4,NA,NA,NA,NA,NA,NA,4
Hamilton,47065,TN,83,12,NA,NA,1,NA,NA,96
Sevier,47155,TN,9,2,NA,2,1,NA,NA,12
Greene,47059,TN,1,NA,NA,NA,NA,NA,NA,1
Robertson,47147,TN,1,NA,NA,NA,NA,NA,NA,1
Blount,47009,TN,8,4,NA,2,1,NA,NA,13
Nueces,48355,TX,NA,NA,NA,NA,NA,NA,NA,0
Starr,48427,TX,NA,NA,NA,NA,NA,NA,NA,0
San Patricio,48409,TX,NA,NA,NA,NA,NA,NA,NA,0
Brazoria,48039,TX,5,NA,NA,NA,NA,NA,NA,5
Terrell,48443,TX,NA,NA,NA,NA,NA,NA,NA,0
Hemphill,48211,TX,NA,NA,NA,NA,NA,NA,NA,0
Cass,48067,TX,22,1,NA,NA,1,NA,NA,24
Tazewell,51185,VA,NA,NA,NA,NA,NA,NA,NA,0
Washington,51191,VA,1,1,NA,NA,NA,NA,NA,2
Dickenson,51051,VA,NA,NA,NA,NA,1,NA,NA,1
Northampton,51131,VA,11,2,NA,NA,1,NA,NA,14
Stafford,51179,VA,8,NA,NA,NA,1,NA,NA,9
Lancaster,51103,VA,3,2,NA,1,1,NA,NA,6
Richmond,51159,VA,4,2,NA,NA,1,NA,NA,7
Augusta,51015,VA,NA,NA,NA,NA,NA,NA,NA,0
Surry,51181,VA,4,4,NA,1,1,NA,NA,9
Fairfax,51059,VA,30,NA,NA,NA,NA,NA,NA,30
Frederick,51069,VA,NA,1,NA,NA,1,NA,NA,2
Monroe,54063,WV,NA,NA,NA,NA,NA,NA,NA,0
Wetzel,54103,WV,NA,NA,NA,NA,NA,NA,NA,0
Tyler,54095,WV,1,NA,NA,NA,NA,NA,NA,1
Wood,54107,WV,NA,NA,NA,NA,NA,NA,NA,0
Mineral,54057,WV,NA,NA,NA,NA,NA,NA,NA,0
Hardy,54031,WV,NA,NA,NA,NA,NA,NA,NA,0
Hampshire,54027,WV,NA,NA,NA,NA,NA,NA,NA,0
Montgomery,05097,AR,10,4,NA,NA,1,NA,NA,15
Cleveland,05025,AR,NA,1,NA,1,1,NA,NA,2
Lake,12069,FL,102,30,NA,4,1,NA,NA,133
Marion,12083,FL,113,25,NA,1,1,NA,NA,139
Columbia,12023,FL,31,6,NA,3,1,NA,NA,38
Sumter,12119,FL,32,3,NA,NA,1,NA,NA,36
Osceola,12097,FL,144,5,NA,NA,1,NA,NA,150
Suwannee,12121,FL,24,4,NA,1,1,NA,NA,29
Union,12125,FL,1,NA,NA,NA,1,NA,NA,2
Fulton,13121,GA,168,NA,NA,NA,NA,NA,NA,168
Barrow,13013,GA,25,NA,NA,NA,NA,NA,NA,25
Jefferson,13163,GA,NA,NA,NA,NA,NA,NA,NA,0
Baldwin,13009,GA,16,2,NA,NA,NA,NA,NA,18
Toombs,13279,GA,8,NA,NA,NA,NA,NA,NA,8
Appling,13001,GA,2,NA,NA,NA,NA,NA,NA,2
Bleckley,13023,GA,1,NA,NA,NA,NA,NA,NA,1
Greene,13133,GA,10,NA,NA,NA,NA,NA,NA,10
White,13311,GA,12,NA,NA,NA,NA,NA,NA,12
Warren,13301,GA,NA,NA,NA,NA,NA,NA,NA,0
Wilcox,13315,GA,1,NA,NA,NA,NA,NA,NA,1
Wayne,13305,GA,5,NA,NA,NA,NA,NA,NA,5
Twiggs,13289,GA,4,NA,NA,NA,NA,NA,NA,4
Schley,13249,GA,1,NA,NA,NA,NA,NA,NA,1
Harnett,37085,NC,33,8,NA,1,1,NA,NA,42
Moore,37125,NC,46,7,NA,2,1,NA,NA,54
Martin,37117,NC,11,1,NA,NA,1,NA,NA,13
Cumberland,37051,NC,59,1,NA,NA,1,NA,NA,61
Davie,37059,NC,1,2,NA,NA,NA,NA,NA,3
Halifax,37083,NC,5,1,NA,NA,1,NA,NA,7
Caldwell,37027,NC,7,NA,NA,NA,NA,NA,NA,7
Nash,37127,NC,15,NA,NA,NA,1,NA,NA,16
Bertie,37015,NC,1,1,NA,1,1,NA,NA,3
Hoke,37093,NC,14,1,NA,NA,1,NA,NA,16
Bedford,47003,TN,NA,NA,NA,NA,NA,NA,NA,0
Gibson,47053,TN,NA,NA,NA,NA,1,NA,NA,1
Crockett,47033,TN,NA,NA,NA,NA,NA,NA,NA,0
Union,47173,TN,2,NA,NA,NA,NA,NA,NA,2
Coffee,47031,TN,10,1,NA,NA,1,NA,NA,12
Maury,47119,TN,3,NA,NA,NA,NA,NA,NA,3
Meigs,47121,TN,3,NA,NA,NA,1,NA,NA,4
McMinn,47107,TN,2,NA,NA,NA,NA,NA,NA,2
Loudon,47105,TN,7,NA,NA,NA,1,NA,NA,8
Putnam,47141,TN,4,2,NA,NA,NA,NA,NA,6
Hickman,47081,TN,1,NA,NA,NA,1,NA,NA,2
Henry,47079,TN,3,NA,NA,NA,1,NA,NA,4
Grainger,47057,TN,NA,NA,NA,NA,1,NA,NA,1
Smith,47159,TN,NA,NA,NA,NA,NA,NA,NA,0
Red River,48387,TX,5,6,NA,NA,NA,NA,NA,11
Hockley,48219,TX,NA,NA,NA,NA,NA,NA,NA,0
Dimmit,48127,TX,NA,NA,NA,NA,NA,NA,NA,0
Walker,48471,TX,19,NA,NA,NA,1,NA,NA,20
Colorado,48089,TX,NA,NA,NA,NA,NA,NA,NA,0
Duval,48131,TX,NA,NA,NA,NA,NA,NA,NA,0
Ward,48475,TX,NA,NA,NA,NA,NA,NA,NA,0
Houston,48225,TX,9,20,NA,NA,NA,NA,NA,29
Nacogdoches,48347,TX,17,1,NA,NA,1,NA,NA,19
Floyd,48153,TX,NA,NA,NA,NA,NA,NA,NA,0
Victoria,48469,TX,NA,NA,NA,NA,NA,NA,NA,0
Hopkins,48223,TX,NA,2,NA,1,NA,NA,NA,2
Bee,48025,TX,NA,NA,NA,NA,NA,NA,NA,0
Delta,48119,TX,NA,NA,NA,NA,NA,NA,NA,0
Trinity,48455,TX,3,9,NA,NA,1,NA,NA,13
Austin,48015,TX,1,2,NA,1,NA,NA,NA,3
Fisher,48151,TX,NA,NA,NA,NA,NA,NA,NA,0
San Jacinto,48407,TX,12,2,NA,NA,NA,NA,NA,14
San Augustine,48405,TX,5,1,NA,NA,NA,NA,NA,6
Washington,48477,TX,NA,NA,NA,NA,NA,NA,NA,0
Sutton,48435,TX,NA,NA,NA,NA,NA,NA,NA,0
Muskogee,40101,OK,NA,NA,NA,NA,NA,NA,NA,0
Craig,40035,OK,NA,NA,NA,NA,NA,NA,NA,0
Kiowa,40075,OK,NA,NA,NA,NA,NA,NA,NA,0
